restaurant_id,name,city,area,cuisine,rating,is_pure_veg,source,avg_delivery_time,avg_price_for_two
34201,Hot & Garlic Barbeque,Amravati,,"BBQ, Chinese",4.3,,zomato,Opens at 6pm,150.0
34202,One & A Half Engineers Food Corner,Amravati,,Fast Food,4.3,,zomato,Opens at 6pm,150.0
34203,Tasty Bite,Jalandhar,,"Fast Food, Pizza, Pasta",4.3,,zomato,40 min,100.0
34204,Oberoi Special,Jalandhar,,Street Food,4.3,,zomato,12 min,100.0
34205,Laffah Hub,Palakkad,Kizhakkumpattukara,"Arabian, Grill",4.3,False,swiggy,,200.0
34206,Aswathi Homemade Foods,Palakkad,Ottapalam,South Indian,4.3,True,swiggy,,150.0
34207,Sri Ganesh Vilas,Tuni,Tuni Locality,"South Indian, North Indian",4.3,False,swiggy,,250.0
34208,Lucky Family Restaurant,Tuni,Thangmeiband,Biryani,4.3,False,swiggy,,300.0
34209,Cakerss,Patna,,"Bakery, Desserts",4.3,,zomato,30 min,250.0
34210,Patna Foodies Club,Patna,,"North Indian, Chinese, Momos, Biryani, Rolls, Fast Food",4.3,,zomato,37 min,250.0
34211,Cakesalley,Patna,,"Bakery, Desserts,",4.3,,zomato,28 min,250.0
34212,Faasos - Wraps & Rolls,Patna,,"Rolls, Wraps, North Indian",4.3,,zomato,34 min,250.0
34213,Chai Met Sutta,Guwahati,Christian Basti,"Chinese, Snacks",4.3,False,swiggy,,300.0
34214,Piquant,Guwahati,Ganeshguri,"Beverages, Burgers",4.3,False,swiggy,,800.0
34215,Gauri'S Kitchen,Guwahati,Ganpati Path,"Indian, Seafood",4.3,False,swiggy,,400.0
34216,Bharath Food Court,Kochi,Marine Drive,"Beverages, Continental",4.3,False,swiggy,,199.0
34217,Tuyueats Mumbai Chaat,Palakkad,Palakkad Town,"Biryani, Chinese",4.3,False,swiggy,,300.0
34218,Kl51 Food Factory,Palakkad,Ottapalam,"Chinese, Burgers",4.3,False,swiggy,,300.0
34219,Nirula's,Patna,,"Ice Cream, Pizza, Burger, North Indian, Momos, Fast Food, Desserts, Beverages",4.3,,zomato,42 min,200.0
34220,Sukhwal Kitchen,Bhilwara,Old Bhilwara,"North Indian, South Indian",4.3,True,swiggy,,250.0
34221,Hotel Hot Plate,Palakkad,Puzhakkal,"Chinese, Burgers",4.3,False,swiggy,,300.0
34222,Tenali Vari Mixture & Panipuri Point,Palakollu,Somavaram,"Snacks, South Indian",4.3,False,swiggy,,150.0
34223,Shri Nath Pav Bhaji,Bhilai,Civic Centre Bhilai,"Fast Food, Street Food",4.3,True,swiggy,,200.0
34224,Anant Chaat Bhandar,Bhilai,Durg Bhilai,"Chaat, Snacks",4.3,True,swiggy,,150.0
34225,Ajantha Canteen,Palakollu,Somavaram,"South Indian, Andhra",4.3,True,swiggy,,150.0
