hotel_id,name,city,google_rating,price_per_night_inr,amenities,source,total_reviews,condition_label,description
70,7 Apple Hotel Aurangabad,Aurangabad,6.1,,,booking,101.0,Review score,7 Apple Hotel offers accommodation in Aurangabad. Free WiFi is featured throughout the property and free private parking is available on site.
71,7 Apple Hotel Jal Mahal,Jaipur,8.2,,,booking,9.0,Very good,"Set in Jaipur and with Jantar Mantar, Jaipur reachable within 2.2 km, 7 Apple Hotel Jal Mahal offers express check-in and check-out, non-smoking rooms, a terrace, free WiFi and a restaurant."
72,7 Apple Hotel Nashik,Nashik,6.4,,,booking,18.0,Review score,Travel Sustainable property
73,7 Apple Hotel Pimpri Pune,Pune,7.3,,,booking,50.0,Good,"Offering a multi-cuisine restaurant, 7 Apple Hotel Pune is located in Pune.  It operates a 24-hour front desk and provides free Wi-Fi access."
74,7 star Weekend studio at Belliza by Global Hospitality,Surat,8.0,,,booking,32.0,Very good,Travel Sustainable property
75,7 Wonders Hotel & Restaurant,gandhinagar,4.1,2190.0,"Free breakfast, Free Wi-Fi, Free parking, Air conditioning, Restaurant, Room service, Airport shuttle, Full-service laundry, Kid-friendly",google,,,
76,976 Panangad,Cochin,9.2,,,booking,20.0,Superb,Travel Sustainable property
77,A & M rooms and residences,Chennai,8.0,,,booking,1.0,Very good,Travel Sustainable property
78,"A Dog's Story, Jaipur",Jaipur,9.3,,,booking,11.0,Superb,"Located in Jaipur, 7.5 km from Amber Fort and 7.7 km from Seesh Mahal, A Dog's Story, Jaipur provides accommodation with free WiFi, air conditioning and access to a garden with a terrace."
79,A La Villa Creole,pondicherry,4.2,1659.0,"3-star hotel, Free breakfast, Wi-Fi, Air conditioning, Restaurant, Kitchen, Airport shuttle, Full-service laundry, Kid-friendly",google,,,
80,A lovely condo in New Alipore,Kolkata,8.0,,,booking,4.0,Very good,"Set just 4.6 km from Nandan, A lovely condo in New Alipore offers accommodation in Kolkata with access to a shared lounge, a terrace, as well as a shared kitchen."
81,A P Home's,guwahati,4.4,1306.0,"Sleeps 6, 2 bedrooms, Air conditioning, Fireplace, Cable TV, Free Wi-Fi, No crib, No elevator, No fitness center",google,,,
82,A R Hotel & Restaurant By WB Inn,Lucknow,,,,booking,,,Travel Sustainable property
83,A Superior King Room Manyata Tech Park IT Corporate Service Apartment,Bangalore,8.3,,,booking,6.0,Very good,"Boasting garden views, A Superior King Room Manyata Tech Park IT Corporate Service Apartment offers accommodation with a fitness centre, a garden and a terrace, around 11 km from Commercial Street."
84,"A-One Star Hotel, Ajmer",Ajmer,9.5,,,booking,2.0,Exceptional,Travel Sustainable property
85,A1 HOTEL,Mumbai,3.7,,,booking,7.0,Review score,"A1 HOTEL features air-conditioned rooms with satellite flat-screen TV in the Western Suburbs district of Mumbai. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk."
86,AABIL PALACE BUSINESS HOTEL,Chennai,6.8,,,booking,5.0,Review score,"5.8 km from Pondy Bazaar, AABIL PALACE BUSINESS HOTEL is set in Chennai and offers air-conditioned rooms. This 2-star hotel offers room service and a 24-hour front desk."
87,Aadhaar,Lucknow,,,,booking,,,"Located in Lucknow, 8.8 km from Lucknow University, Aadhaar provides accommodation with a garden, free WiFi, a shared kitchen, and a shared lounge."
88,AAGAAZ Hotel,ludhiana,4.4,2615.0,"Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Full-service laundry, Accessible",google,,,
89,Aagaman Homestay,Agra,7.3,,,booking,4.0,Good,"Right in the centre of Agra, situated around 3.1 km from Taj Mahal, Aagaman Homestay offers free WiFi, air conditioning, and household amenities such as Coffee machine and a fridge."
90,Aaj Ka Suite,Vadodara,,,,booking,,,"Set in Vadodara in the Gujarat region, Aaj Ka Suite features a balcony. The Anand Railway Station is within 46 km of the homestay. The homestay comes with a flat-screen TV."
91,AAJ VILLA,Jaipur,,,,booking,,,"Located 4.1 km from Govind Dev Ji Temple, AAJ VILLA provides accommodation with a shared lounge, a terrace and a shared kitchen for your convenience."
92,AAKIYO ROOM,Pune,,,,booking,,,Travel Sustainable property
93,Aakriti NS71,Bhopal,,,,booking,,,"Located 30 km from Museum of Man, Aakriti NS71 offers a garden, a shared lounge and air-conditioned accommodation with a balcony and free WiFi."
94,Aangan Alibag,Alibag,7.5,,,booking,2.0,Good,"Aangan Alibag is situated in Alibag and offers an outdoor swimming pool and a bar. This holiday home has a private pool, a garden and free private parking."
95,Aarohi Starz Club,Ahmedabad,8.3,,,booking,3.0,Very good,"Situated in Ahmedabad, 7.7 km from IIM, Aarohi Starz Club features accommodation with a garden, free private parking and a restaurant."
96,Aarya Grand Hotels & Resorts,ahmedabad,4.2,3091.0,"3-star hotel, Free breakfast, Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Airport shuttle",google,,,
97,Aarya Regency,Pune,6.2,,,booking,44.0,Review score,"Located in Pune, 13 km from University of Pune, Aarya Regency provides accommodation with a garden, free private parking, a terrace and a restaurant."
98,Aarzoo Stays Agra,Agra,1.0,,,booking,1.0,Review score,Travel Sustainable property
99,Aashadeep,Agra,,,,booking,,,"Featuring 3-star accommodation, Aashadeep is located in Agra, 7.7 km from Agra Cantonment and 8.4 km from Taj Mahal. With free WiFi, this 3-star hotel offers room service and a 24-hour front desk."
100,Aashiana by Herbs & Spices - Home Stay in Jaipur,Jaipur,,,,booking,,,"Located in Jaipur and only 3.6 km from Hawa Mahal - Palace of Winds, Aashiana by Herbs & Spices - Home Stay in Jaipur provides accommodation with city views, free WiFi and free private parking."
101,Aashikha Farm House,pondicherry,4.8,1974.0,"Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Pet-friendly, Room service, Kitchen, Airport shuttle",google,,,
102,Aashirwad Delight 2 Jaipur Homestay,Jaipur,8.9,,,booking,7.0,Fabulous,"Boasting garden views, Aashirwad Delight 2 Jaipur Homestay provides accommodation with a terrace and a balcony, around 4.8 km from City Palace."
103,Aashray Hotel,Indore,,,,booking,,,"Set in Indore and within 6.2 km of Rajwada Palace, Aashray Hotel has a terrace, non-smoking rooms, and free WiFi throughout the property. The guest house features family rooms."
104,Aashvi K Homestay,Bhopal,,,,booking,,,"Boasting a garden, a terrace, and a bar, Aashvi K Homestay features accommodation in Bhopal with free WiFi and garden views."
105,Aavas Inn,Nagpur,7.3,,,booking,21.0,Good,"Aavas Inn has air-conditioned guest accommodation in Nagpur, 3.5 km from Vidarbha Cricket Association Stadium, 1.9 km from Zero Mile Stone Nagpur and 2.9 km from Sitabuldi Fort."
106,Abad Atrium,Cochin,8.0,,,booking,158.0,Very good,Travel Sustainable property
107,Abad Metro,Cochin,8.2,,,booking,710.0,Very good,Travel Sustainable property
108,Abad Whispering Palms | Resort in Kumarakom,kumarakom,4.3,6921.0,"4-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Fitness center, Spa, Restaurant",google,,,
109,AbbA Marari Heritage Homestay Mararikulam,Alleppey,8.5,,,booking,37.0,Very good,"Boasting a garden, AbbA Marari Heritage Homestay Mararikulam features accommodation in Alleppey with free WiFi and sea views."
110,ABM Express Inn,Bangalore,7.4,,,booking,191.0,Good,"Featuring 3-star accommodation, ABM Express Inn is set in Bangalore, less than 1 km from Bangalore City Railway Station and 3.3 km from Indira Gandhi Musical Fountain Park."
111,Abode Bombay,Mumbai,8.6,,,booking,615.0,Fabulous,Travel Sustainable property
112,Abode Homestay,Jaipur,6.8,,,booking,6.0,Review score,Travel Sustainable property
113,ABRU'S HOLIDAYS,Alleppey,8.5,,,booking,84.0,Very good,"Set in Alleppey, within 2.9 km of Thumpoly Beach and 2.9 km of Alleppey Beach, ABRU'S HOLIDAYS offers accommodation with a garden and free WiFi as well as free private parking for guests who drive."
114,"Ac 1bhk flat at 21st floor towards golf park facing in lodha belmondo, Pune",Pune,,,,booking,,,"Situated 22 km from University of Pune and 25 km from Pataleshwar Cave Temple in Pune, Ac 1bhk flat at 21st floor towards golf park facing in lodha belmondo, Pune offers accommodation with a kitchen."
115,Ac beautiful 2bhk fully furnished Flat in Balewadi,Pune,8.5,,,booking,2.0,Very good,"Ac beautiful 2bhk fully furnished Flat in Balewadi is located in the Baner district of Pune, 12 km from Fergusson College, 12 km from Srimant Dagadusheth Halwai Ganapati Temple and 13 km from Pune..."
116,Accord Hotel,Mumbai,6.2,,,booking,65.0,Review score,Travel Sustainable property
117,Ace Manor (L'ELEGANT Hotel & Banquet),ghaziabad,3.8,1906.0,"3-star hotel, Free breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Full-service laundry",google,,,
118,Acorn Villa,Jaipur,,,,booking,,,"Acorn Villa, a property with a garden, is situated in Jaipur, 7.7 km from Jaipur Railway Station, 10 km from Birla Mandir Temple, Jaipur, as well as 12 km from City Palace."
119,Adams Cottage Kochi,Cochin,7.6,,,booking,83.0,Good,"Featuring a garden, terrace and views of garden, Adams Cottage Kochi is located in Cochin, 3.4 km from Kochi Biennale."
120,Adara Residency,trivandrum,4.3,1616.0,"0, 0, 0, 0, 0, 0, 0, 0, 0",google,,,
121,Adarsh Guest House,jamshedpur,4.5,448.0,"4-star hotel, Breakfast, Free Wi-Fi, Free parking, Pool, Air conditioning, Restaurant, Room service, Kitchen",google,,,
122,Adarsh Hamilton,Bangalore,8.7,,,booking,128.0,Fabulous,Travel Sustainable property
123,Adidev Group of Homestays,dehradun,4.6,1005.0,"Breakfast, Free Wi-Fi, Paid parking, Kitchen, Full-service laundry, 0, 0, 0, 0",google,,,
124,Aditya Park-A Sarovar Portico Hotel,Hyderabad,6.7,,,booking,316.0,Review score,Travel Sustainable property
125,Advait Holiday home,Alibag,9.0,,,booking,1.0,Superb,"Advait Holiday home offers accommodation in Alibag, 1.1 km from Nagaon Beach. This property offers access to a balcony and free private parking. Guests at the homestay can enjoy a vegetarian..."
126,Advantage Inn,allahabad,4.6,2423.0,"Free breakfast, Free Wi-Fi, Free parking, Pool, Room service, Full-service laundry, Smoke-free, 0, 0",google,,,
